next50_rank,next50_name,next50_country,status,action,master_institution
151,Indian Institute of Technology Roorkee (IIT Roorkee),India,,fills existing row,Indian Institute of Technology Roorkee
152,Universidad Adolfo Ibáñez,Chile,,fills existing row,Universidad Adolfo Ibáñez
153,Simon Fraser University,Canada,,fills existing row,Simon Fraser University
154,University of Hong Kong,Hong Kong,NEW,fills existing row,The University of Hong Kong
155,University of Amsterdam,Netherlands,,fills existing row,University of Amsterdam
156,Télécom Paris – Institut Polytechnique de Paris,France,,fills existing row,Telecom Paris - Institut Polytechnique de Paris
157,University of St. Gallen,Switzerland,,fills existing row,University of St. Gallen
158,Mines Paris – PSL University,France,,fills existing row,Mines Paris - PSL University
159,HEC Montréal,Canada,,fills existing row,HEC Montréal
160,American University of Beirut (AUB),Lebanon,,fills existing row,American University of Beirut
161,University of Barcelona,Spain,,fills existing row,University of Barcelona
162,University of Adelaide,Australia,,fills existing row,The University of Adelaide
163,Kyiv Polytechnic Institute,Ukraine,,fills existing row,National Technical University of Ukraine 'Kyiv Polytechnic Institute'
164,University of Bath,United Kingdom,,fills existing row,University of Bath
165,Karlsruhe Institute of Technology (KIT),Germany,,fills existing row,Karlsruhe Institute of Technology KIT
166,Polytechnic University of Catalonia (UPC),Spain,,fills existing row,Polytechnic University of Catalonia
167,Paris-Saclay University,France,NEW,fills existing row,Université Paris-Saclay
168,International Institute of Information Technology Bangalore (IIIT Bangalore),India,,fills existing row,International Institute of Information Technology Bangalore
169,King Abdullah University of Science and Technology (KAUST),Saudi Arabia,NEW,NEW institution,
170,"University of California, Irvine (UC Irvine)",United States,NEW,fills existing row,"University of California, Irvine"
171,Cardiff University,United Kingdom,,fills existing row,Cardiff University
172,Politehnica University of Bucharest,Romania,,fills existing row,Politehnica University of Bucharest
173,Swinburne University of Technology,Australia,,fills existing row,Swinburne University of Technology
174,RWTH Aachen University,Germany,,fills existing row,RWTH Aachen University
175,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),United Arab Emirates,NEW,NEW institution,
176,Beihang University,China,NEW,fills existing row,Beihang University
177,University of Ottawa,Canada,,fills existing row,University of Ottawa
178,University of Bologna,Italy,NEW,NEW institution,
179,North Carolina State University,United States,NEW,fills existing row,North Carolina State University
180,ENS Paris-Saclay,France,,fills existing row,Ecole normale supérieure Paris-Saclay - University Paris-Saclay
181,Universidad Nacional Autónoma de México (UNAM),Mexico,,fills existing row,Universidad Nacional Autónoma de México
182,Vellore Institute of Technology (VIT),India,,fills existing row,Vellore Institute of Technology
183,Tongji University,China,NEW,fills existing row,Tongji University
184,Singapore Management University (SMU),Singapore,NEW,NEW institution,
185,China Europe International Business School (CEIBS),China,,fills existing row,China Europe International Business School (CEIBS)
186,Istanbul Technical University (ITU),Turkey,NEW,NEW institution,
187,International Institute of Information Technology Hyderabad (IIIT Hyderabad),India,,fills existing row,International Institute of Information Technology Hyderabad (IIITH)
188,Universidad Carlos III de Madrid,Spain,NEW,fills existing row,Universidad Carlos III de Madrid
189,Instituto Tecnológico Autónomo de México (ITAM),Mexico,,fills existing row,Instituto Tecnológico Autonómo de México
190,University of Tartu,Estonia,NEW,fills existing row,University of Tartu
191,Mohammed VI Polytechnic University (UM6P),Morocco,NEW,NEW institution,
192,California State University – East Bay,United States,NEW,fills existing row,California State University - East Bay
193,Cairo University,Egypt,NEW,NEW institution,
194,Universidad de Chile,Chile,NEW,fills existing row,Universidad de Chile
195,University of Johannesburg,South Africa,NEW,NEW institution,
196,Universidad Nacional de Colombia,Colombia,NEW,NEW institution,
197,Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Brazil,NEW,NEW institution,
198,Torcuato Di Tella University,Argentina,NEW,NEW institution,
199,PSG College of Technology,India,NEW,fills existing row,PSG College of Technology
200,Great Lakes Institute of Management,India,NEW,fills existing row,Great Lakes Institute of Management
